Pressure, Turbidity, PH, Temperature, Salinity
Pressure, Turbidity, PH, Temperature, Salinity
Pressure, Turbidity, PH, Temperature, Salinity
3.22,1.97,0.02,0.56,1.11,10825
3.23,1.97,0.02,0.65,1.30,10904
3.22,1.97,0.02,0.71,1.32,11000
3.21,1.97,0.02,0.75,1.31,11102
3.21,1.97,0.02,0.78,1.33,11198
3.21,1.97,0.02,0.80,1.33,11303
3.23,1.97,0.02,0.82,1.33,11400
3.23,1.97,0.02,0.83,1.33,11500
3.22,1.97,0.02,0.84,1.34,11600
3.23,1.97,0.02,0.85,1.32,11702
3.23,1.97,0.02,0.86,1.35,11798
3.21,1.97,0.02,0.86,1.33,11903
3.21,1.97,0.02,0.86,1.35,11998
3.24,1.97,0.02,0.86,1.33,12103
3.22,1.97,0.02,0.87,1.34,12200
3.22,1.97,0.02,0.87,1.34,12301
3.22,1.97,0.02,0.88,1.34,12401
3.21,1.96,0.02,0.88,1.33,12502
3.21,1.97,0.02,0.88,1.35,12598
3.20,1.97,0.02,0.88,1.33,12703
3.21,1.97,0.02,0.88,1.33,12800
3.22,1.97,0.02,0.88,1.33,12901
3.23,1.97,0.02,0.88,1.35,13016
3.22,1.97,0.02,0.88,1.33,13102
3.23,1.97,0.02,0.89,1.34,13199
3.20,1.97,0.02,0.89,1.33,13303
3.22,1.97,0.02,0.89,1.34,13400
3.21,1.97,0.02,0.88,1.33,13501
3.22,1.97,0.02,0.88,1.33,13600
3.22,1.97,0.02,0.89,1.33,13701
3.23,1.97,0.02,0.88,1.35,13800
3.22,1.97,0.02,0.88,1.32,13902
3.22,1.97,0.02,0.88,1.32,14006
3.23,1.97,0.02,0.88,1.33,14100
3.21,1.97,0.02,0.89,1.35,14198
3.20,1.97,0.02,0.89,1.33,14300
3.23,1.97,0.02,0.89,1.35,14398
3.20,1.97,0.02,0.89,1.33,14500
3.22,1.97,0.02,0.89,1.34,14598
3.23,1.97,0.02,0.89,1.33,14700
3.21,1.97,0.02,0.89,1.34,14798
3.22,1.97,0.02,0.88,1.33,14900
3.21,1.97,0.02,0.89,1.34,14998
3.21,1.97,0.02,0.88,1.33,15101
3.21,1.97,0.02,0.88,1.33,15201
